station_name,address,operator,charging_types,payment_options,amenities,latitude,longitude,city,state
Tata Power - BKC Substation,"Near Asian Heart Hospital, Opp Bharat Diamond Bourse, Bandra East, Mumbai, MH 400051",Tata Power,"AC 3.3kW, DC 25kW","App, RFID, UPI","Parking, App Connect",19.0585,72.8557,Mumbai,Maharashtra
Magenta ChargeGrid - Vikhroli,"17, LBS Rd, Opp Home Town, Chandan Nagar, Vikhroli West, Mumbai",Magenta,"AC 3.3kW, DC 25kW","App, UPI","Multi-outlet, Parking",19.1078,72.9305,Mumbai,Maharashtra
Statiq Powai,"Kailash Nagar, Morarji Nagar, Powai, Mumbai, MH 400076",Statiq,"AC 11kW, DC 60kW","App, Card, UPI","Bathroom, Mall Access",19.1172,72.905,Mumbai,Maharashtra
Ather Grid - Sewri,"Next to VRL Logistics, Ashok Gardens, PD’Mello Rd, Sewri West, Mumbai 400033",Ather,DC Fast 25kW,App,"Parking, App Connect",18.9959,72.8532,Mumbai,Maharashtra
EV Dock - Malad,"G-603/604, Vasari Hill Rd, Malad, Sunder Nagar, Goregaon West, Mumbai",EV Dock,"AC 11kW, DC 60kW","App, RFID, UPI","RFID, UPI, Parking",19.1787,72.8446,Mumbai,Maharashtra
Tata Power - Kapasi CHSL,"4/5, Enterprise Apartment, Forjet Hill Rd, Tardeo, Mumbai",Tata Power,"AC 3.3kW, AC 22kW, DC 60kW","App, RFID, UPI","Smart App Charging, Parking",18.965,72.8098,Mumbai,Maharashtra
Moiz Apartments,"12th Road, Above Upadhyaya Nursing Home, Santacruz East, Mumbai, Maharashtra",Tata Power,"AC 7.4kW, DC 25kW","App, UPI",Parking,19.0737,72.857,Mumbai,Maharashtra
Tata Power - Borivali Receiving,"Dattapada Road, Near Magathane Bus Dept, Housing Colony, Borivali, Mumbai",Tata Power,"AC 3.3kW, DC 25kW","App, RFID, UPI",Parking,19.2345,72.8587,Mumbai,Maharashtra
Phoenix Market City Charging Station,"Entrance Gate 3, Phoenix Market City, Lal Bahadur Shastri Rd, Kurla West, Mumbai",ChargeZone,"AC 22kW, DC 25kW","App, Card, UPI","Mall Amenities, Parking",19.0751,72.8893,Mumbai,Maharashtra
Tata Power - Mahanagar Gas,"MGL Terminal, Opposite Anik Depot, Wadala, Mumbai",Tata Power,DC 25kW,App,"Parking, App Connect",19.0281,72.8647,Mumbai,Maharashtra
ChargeAndDrive Charging Station,"G-603/604, Vasari Hill Rd, Malad, Sunder Nagar, Goregaon West, Mumbai",Fortum,"AC 22kW, DC 60kW","App, Card, RFID","Parking, RFID",19.1683,72.8452,Mumbai,Maharashtra
VoltaPoint Charging Station,"527, Building No-2, SRA Cooperative Society, Prabhadevi, near Ahuja Towers, Mumbai",VoltaPoint,"AC 11kW, DC 30kW",App,Parking,19.0161,72.828,Mumbai,Maharashtra
Volttic Charging Station,"Military Rd, Raje Shivaji Nagar, Marol, Andheri East, Mumbai",Volttic,DC Fast 25kW,"App, Card, UPI","Parking, App Connect",19.1143,72.8707,Mumbai,Maharashtra
EVteQ Charging Solution,"104, Quantum Tower, Behind SBI, Rambaug Lane, S.V Road, Malad West, Mumbai",EVteQ,"AC 7.4kW, DC 15kW","App, Card, UPI","RFID, UPI, Parking",19.1864,72.8429,Mumbai,Maharashtra
Kazam Charging Station,"Ground Floor Nana Niwas, Gokhale Road, Baburao Parulekar Marg, Dadar West, Mumbai",Kazam,"AC 3.3kW, AC 7.4kW, DC Fast","App, UPI","App, Parking",19.0176,72.8426,Mumbai,Maharashtra
ATUM Charge (Malad),"95, Malad, Viaykar Vadi, Malad West, Mumbai 400064",ATUM,"AC 7.4kW, DC 25kW","App, Card, UPI",Parking,19.1876,72.8436,Mumbai,Maharashtra
Tata Power Charging Station,"Anik Depot, Municipal Kamgar Vasahat, Trombay Industrial Area, Chembur, Mumbai",Tata Power,DC 25kW,"App, UPI","Parking, App Connect",19.0302,72.8927,Mumbai,Maharashtra
Ather Charging Station,"Next to VRL Logistics, Ashok Gardens, PD’Mello Rd, Sewri West, Mumbai 400033",Ather,"DC Fast Charger, Level 3",App,"Auto Charging, App Connect",18.9959,72.8532,Mumbai,Maharashtra
Magenta Charging Station (Parel),"Station Rd, Parel East, Parel, Mumbai 400014",Magenta,"AC 7.4kW, DC 15kW","App, Card, UPI",Parking,19.0079,72.8425,Mumbai,Maharashtra
EV Point - Juhu,"Juhu Tara Rd, Near Juhu Beach, Mumbai, Maharashtra",EV Point,"AC 11kW, DC 22kW","App, Card",Parking,19.0994,72.8269,Mumbai,Maharashtra
